"Z_NAME","W_NAME","st1","st2","st3","st4"
"Afar Zone 1","Afambo","G1045","G1053","G4951","G4954"
"Afar Zone 1","Asayita","G1045","G1053","G4951","G4954"
"Afar Zone 1","Chifra","G1045","G1053","G4951","G4954"
"Afar Zone 1","Dubti","G1045","G1053","G4951","G4954"
"Afar Zone 1","Elidar","G1045","G1053","G4951","G4954"
"Afar Zone 1","Mile","G1045","G1053","G4951","G4954"
"Afar Zone 3","Amibara","G1067",NA,NA,NA
"Afar Zone 3","Awash Fentale","G1067",NA,NA,NA
"Afar Zone 3","Bure Mudaytu","G1067",NA,NA,NA
"Afar Zone 3","Dulecha","G1067",NA,NA,NA
"Afar Zone 3","Gewane","G1067",NA,NA,NA
"Afder","West Imi","G1902","G5141","G5142","G5145"
"Bale","Agarfa","G5115",NA,NA,NA
"Bale","Dawe Ketchen","G5115",NA,NA,NA
"Bale","Gasera","G5115",NA,NA,NA
"Bale","Ginir","G5115",NA,NA,NA
"Bale","Gololcha Bale","G5115",NA,NA,NA
"Bale","Lege Hida","G5115",NA,NA,NA
"Bale","Seweyna","G5115",NA,NA,NA
"East Gojam","Bibugn","G4980",NA,NA,NA
"East Gojam","Debay Telatgen","G4980",NA,NA,NA
"East Gojam","Dejen","G4980",NA,NA,NA
"East Gojam","Enebse Sarmder","G4980",NA,NA,NA
"East Gojam","Goncha Siso Enebse","G4980",NA,NA,NA
"East Gojam","Michakel","G4980",NA,NA,NA
"East Shewa","Adama","G1074",NA,NA,NA
"East Shewa","Adama Tulu Jido Kombolcha","G1074",NA,NA,NA
"East Shewa","Bora","G1074",NA,NA,NA
"East Shewa","Boset","G1074",NA,NA,NA
"East Shewa","Dugda","G1074",NA,NA,NA
"East Shewa","Fentale","G1074",NA,NA,NA
"Guraghe","Enemorina Eaner","G6107","G6108","G6110",NA
"Guraghe","Mareko","G6107","G6108","G6110",NA
"Guraghe","Meskan","G6107","G6108","G6110",NA
"Guraghe","Muhur Na Aklil","G6107","G6108","G6110",NA
"Guraghe","Sodo","G6107","G6108","G6110",NA
"Jimma","Dedo","G6109","G6111","G6112",NA
"Jimma","Gera","G6109","G6111","G6112",NA
"Jimma","Limu Kosa","G6109","G6111","G6112",NA
"Liban","Dolo Odo","G5118",NA,NA,NA
"Liban","Filtu","G5118",NA,NA,NA
"Nuwer","Akobo","G5056",NA,NA,NA
"Nuwer","Jikawo","G5056",NA,NA,NA
"Nuwer","Lare","G5056",NA,NA,NA
"Nuwer","Wantawo","G5056",NA,NA,NA
"Shabelle","Danan","G1904","G1905","G1906","G1907"
"Shabelle","East Imi","G1904","G1905","G1906","G1907"
"Shabelle","Ferfer","G1904","G1905","G1906","G1907"
"Shabelle","Gode","G1904","G1905","G1906","G1907"
"Shabelle","Kelafo","G1904","G1905","G1906","G1907"
"Shabelle","Mustahil","G1904","G1905","G1906","G1907"
"South Gondar","Farta","G4957","G4965",NA,NA
"South Gondar","Fogera","G4957","G4965",NA,NA
"South Gondar","Libokemekem","G4957","G4965",NA,NA
"South Gondar","Semada","G4957","G4965",NA,NA
"South Omo","Basketo SP Woreda","G1901",NA,NA,NA
"South Omo","Bena Tsemay","G1901",NA,NA,NA
"South Omo","Dasenech (Kuraz)","G1901",NA,NA,NA
"South Omo","Gelila / North Ari","G1901",NA,NA,NA
"South Omo","Hamer","G1901",NA,NA,NA
"South Omo","Male","G1901",NA,NA,NA
"South Omo","South Ari (Bako Gazer)","G1901",NA,NA,NA
"West Gojam","Bahirdar Zuria","G4953","G4977",NA,NA
"West Gojam","Bure (Amhara)","G4953","G4977",NA,NA
"West Gojam","Mecha","G4953","G4977",NA,NA
"West Gojam","Semen Achefer","G4953","G4977",NA,NA
"West Gojam","Yilmana Densa","G4953","G4977",NA,NA
