name;pcode;Impact_data;Glofas_st;Glofas_st2;Glofas_st3;Glofas_st4;Total_Glofas;mountainuous;close_to_lake;Affected_noGlofas
Agago;21UGA001001;0;;;;;0;0;;0
Amuru;21UGA001002;1;F0037;G5163;;;2;;;0
Amuria;21UGA013001;0;G5196;G6106;;;2;0;;0
Bududa;21UGA006001;1;;;;;0;1;;1
Bukedea;21UGA013002;0;G5200;;;;1;;;0
Bukwo;21UGA006002;1;;;;;0;1;;1
Bulambuli;21UGA006003;1;G5200;;;;1;1;;0
Bushenyi;21UGA002002;0;;;;;0;;;0
Butaleja;21UGA003003;1;F0032;F0030;;;2;;;0
Buyende;21UGA005003;1;UGGVS2;UGGVS3;;;0;;;1
Gulu;21UGA001003;1;F0037;F0042;;;2;;;0
Isingiro;21UGA002004;0;;;;;0;;;0
Kaabong;21UGA008003;1;F0042;;;;1;;;0
Kabale;21UGA009001;1;;;;;0;;;1
Kampala;21UGA007001;1;;;;;0;;;1
Kamwenge;21UGA014004;0;F0036;;;;1;;;0
Kamuli;21UGA005007;1;UGGVS2;;;;0;;;1
Kanungu;21UGA009002;0;F0038;;;;1;;;0
Kapchorwa;21UGA006004;0;;;;;0;1;;0
Kasese;21UGA014005;1;UGGVS5;UGGVS6;;;0;1;;1
Katakwi;21UGA013005;1;F0034;G5196;G5200;G6106;4;;;0
Kibaale;21UGA004005;0;;;;;0;;;0
Kisoro;21UGA009003;0;;;;;0;;;0
Kotido;21UGA008004;0;F0042;;;;1;;;0
Kumi;21UGA013006;0;G5200;;;;1;;;0
Lira;21UGA010007;1;F0037;UGGVS4;;;1;;;0
Manafwa;21UGA006006;0;;;;;0;1;;0
Masaka;21UGA012009;0;;;;;0;;1;0
Mbale;21UGA006007;0;;;;;0;1;;0
Mbarara;21UGA002006;1;F0035;;;;1;;;0
Moroto;21UGA008005;0;;;;;0;;;0
Moyo;21UGA015005;0;;;;;0;1;;0
Mubende;21UGA011009;0;;;;;0;;;0
Mukono;21UGA011010;1;UGGVS1;;;;0;;1;1
Nakapiripirit;21UGA008007;0;;;;;0;;;0
Nakaseke;21UGA011011;1;G5195;F0039;;;2;;;0
Napak;21UGA008008;0;G6106;;;;1;;;0
Nebbi;21UGA015006;0;;;;;0;;;0
Ntoroko;21UGA014008;1;F0041;UGGVS7;;;1;;1;0
Otuke;21UGA010008;0;;;;;0;;;0
Pallisa;21UGA003006;0;F0034;F0030;F0032;;3;;;0
Rubanda;21UGA009004;0;;;;;0;1;;0
Serere;21UGA013008;0;F0034;;;;1;;1;0
Sironko;21UGA006009;0;;;;;0;1;;0
Soroti;21UGA013009;0;F0034;;;;1;;;0
Tororo;21UGA003007;1;F0032;F0030;;;2;;;0
Wakiso;21UGA011013;1;F0039;;;;1;;;0
