name,pcode,subsistenc,fr,catchment,data_df2_f,Glofas_st,Glofas_st2,Glofas_st3,Glofas_st4,mountainuous,close_to_lake
Agago,21UGA001001,0.9076,7,,7,,,,,0,
Amuria,21UGA013001,0.8468,22,,22,G5196,G6106,,,0,
Bududa,21UGA006001,0.8822,17,0,17,,,,,1,
Bukedea,21UGA013002,0.8689,8,,8,G5200,,,,,
Bulambuli,21UGA006003,0.8528,8,,8,,,,,1,
Bushenyi,21UGA002002,0.6866,9,,9,,,,,,
Butaleja,21UGA003003,0.8995,20,,20,F0032,,,,,
Gulu,21UGA001003,0.4766,9,,9,F0037,,,,,
Isingiro,21UGA002004,0.826,8,,8,,,,,,
Kaabong,21UGA008003,0.8318,9,,9,F0042,,,,,
Kabale,21UGA009001,0.7522,11,0,11,,,,,,
Kampala,21UGA007001,0.012,26,,26,,,,,,
Kamwenge,21UGA014004,0.1865,8,,8,F0036,,,,,
Kanungu,21UGA009002,0.8228,8,,8,F0038,,,,,
Kapchorwa,21UGA006004,0.7278,10,0,10,,,,,1,
Kasese,21UGA014005,0.738,24,,24,,,,,1,
Katakwi,21UGA013005,0.8403,21,,21,F0034,G5196,G5200,G6106,,
Kibaale,21UGA004005,0.8356,7,,7,,,,,,
Kisoro,21UGA009003,0.8755,14,0,14,,,,,,
Kotido,21UGA008004,0.8032,8,,8,F0042,,,,,
Kumi,21UGA013006,0.8298,9,,9,G5200,,,,,
Lira,21UGA010007,0.6593,13,,13,,,,,,
Manafwa,21UGA006006,0.8724,8,,8,,,,,1,
Masaka,21UGA012009,0.4673,7,,7,,,,,,1
Mbale,21UGA006007,0.6563,11,,11,,,,,1,
Mbarara,21UGA002006,0.5907,7,,7,F0035,,,,,
Moroto,21UGA008005,,13,,13,,,,,,
Moyo,21UGA015005,0.8868,10,,10,,,,,1,
Mubende,21UGA011009,0.766,8,,8,,,,,,
Nakapiripirit,21UGA008007,0.8434,10,,10,,,,,,
Napak,21UGA008008,0.768,9,,9,G6106,,,,,
Nebbi,21UGA015006,0.9204,17,,17,,,,,,
Ntoroko,21UGA014008,0.5678,11,,11,F0040,,,,,1
Otuke,21UGA010008,0.9074,8,,8,,,,,,
Serere,21UGA013008,0.8841,7,,7,F0034,,,,,1
Sironko,21UGA006009,0.838,17,,17,,,,,1,
Soroti,21UGA013009,0.708,12,,12,F0034,,,,,
Tororo,21UGA003007,0.802,14,,14,F0032,,,,,
