link,pcode,district,date,certainty,impact,people_affected,deaths
http://floodlist.com/africa/uganda-floods-northern-region-august-2017,unkown,Amuru,2017-08-22,8,H,3000,
https://reliefweb.int/disaster/ms-2011-000110-uga,21UGA006001,Bududa,2011-08-11,7,H,6400,7
http://floodlist.com/africa/uganda-landslides-floods-bududa-eastern-region-october-2018,21UGA006001,Bududa,2018-10-11,8,H,,34
https://allafrica.com/stories/201005170065.html,unkown,Bukwo,2010-05-01,2,M,,3
https://reliefweb.int/report/uganda/bulambuli-district-hit-floods,21UGA006003,Bulambuli,2018-05-20,6,M,3000,
https://www.newvision.co.ug/new_vision/news/1293620/butaleja-flood-victims-receive-aid,21UGA003003,Butaleja,2010-03-19,2,M,2000,
http://floodlist.com/africa/uganda-floods-eastern-region-april-2019,unkown,Buyende,2019-04-23,8,H,1000,18
http://floodlist.com/africa/uganda-south-sudan,21UGA001003,Gulu,2013-11-03,3,M,,
https://reliefweb.int/disaster/ms-2011-000110-uga,21UGA008003,Kaabong,2011-08-11,7,H,6400,7
https://www.newvision.co.ug/new_vision/news/1200891/flood-ravages-kabale-hills-bear,21UGA009001,Kabale,2009-11-01,2,H,,6
http://floodlist.com/africa/floods-kampala-uganda,21UGA007001,Kampala,2013-09-03,8,L,,
http://floodlist.com/africa/uganda-1000-displaced-floods-kasese-kampala,21UGA007001,Kampala,2016-04-13,8,M,,
http://floodlist.com/africa/uganda-floods-november-2018,21UGA007001,Kampala,2018-11-17,3,M,,5
http://floodlist.com/africa/uganda-flash-floods-kampala-may-2019,21UGA007001,Kampala,2019-05-28,6,H,1500,8
https://www.newvision.co.ug/new_vision/news/1085491/floods-stop-city-business,21UGA007001,Kampala,2002-03-06,4,L,,
https://www.newvision.co.ug/new_vision/news/1325557/floods-sweep-prado-vehicle-kilometre,21UGA007001,Kampala,2015-05-07,8,L,,
https://www.newvision.co.ug/new_vision/news/1215221/killed-kampala-floods,21UGA007001,Kampala,2007-11-16,8,M,,4
http://floodlist.com/africa/uganda-floods-eastern-region-april-2019,unkown,Kamuli,2019-04-23,8,H,1000,18
http://floodlist.com/africa/uganda-1000-displaced-floods-kasese-kampala,21UGA014005,Kasese,2016-04-13,8,M,1000,
http://floodlist.com/africa/uganda-1000-displaced-floods-kasese-kampala,21UGA014005,Kasese,2016-04-17,8,M,1000,
https://theinsider.ug/index.php/2017/08/08/floods-kill-3-children-in-kasese/,21UGA014005,Kasese,2017-08-07,6,M,,3
https://www.newvision.co.ug/new_vision/news/1340533/updf-joins-kasese-flood-rescue-efforts,21UGA014005,Kasese,2014-05-07,2,H,,5
https://reliefweb.int/report/uganda/kasese-floods-affected-population-now-25445,21UGA014005,Kasese,2013-05-08,7,H,25000,
https://www.newvision.co.ug/new_vision/news/1282478/floods-ravage-rwenzori-region,21UGA014005,Kasese,2010-09-18,3,M,,1
https://www.ifrc.org/ar/news-and-media/news-stories/africa/uganda/floods-continue-to-ravage-uganda/,21UGA013005,Katakwi,2007-09-18,7,H,60000,
https://www.newvision.co.ug/new_vision/news/1479737/famine-looms-katakwi-residents-relief,21UGA013005,Katakwi,2018-05-24,7,,,
https://www.newvision.co.ug/new_vision/news/1176923/floods-cut-katakwi-amuria-roads,21UGA013005,Katakwi,2008-11-09,6,M,6000,
https://reliefweb.int/report/uganda/floods-105-latrines-collapse-wera-katakwi-district,21UGA013005,Katakwi,2011-09-28,3,M,,
https://ugandaradionetwork.com/story/katakwi-hit-by-floods,21UGA013005,Katakwi,2012-09-28,5,M,,
https://www.monitor.co.ug/News/National/Bad-roads-paralyse-trade-in-Karamoja/-/688334/2678566/-/gbejpfz/-/index.html,21UGA013005,Katakwi,2015-04-06,5,M,,
https://www.monitor.co.ug/News/National/-/688334/1012362/-/cnox1oz/-/index.html,21UGA013005,Katakwi,2010-09-13,5,M,,
https://www.newvision.co.ug/new_vision/news/1218477/camps-created-lira-flood-victims,21UGA010007,Lira,2007-09-30,4,H,50000,
https://www.newvision.co.ug/new_vision/news/1307023/flooded-bridge-disrupts-lira-apac-transport,21UGA010007,Lira,2014-08-13,8,L,,
http://floodlist.com/africa/uganda-floods-mbarara-march-2018,unkown,Mbarara,2018-03-14,8,M,,1
https://allafrica.com/stories/201001080242.html,unkown,Mukono,2010-01-06,5,M,,1
https://allafrica.com/stories/201211140537.html,unkown,Nakaseke,2012-11-01,3,L,,
http://floodlist.com/africa/16000-displaced-uganda-river-semliki-overflows,21UGA014008,Ntoroko,2014-11-01,8,H,8000,
https://reliefweb.int/report/uganda/ntoroko-flood-victims-call-more-relief,21UGA014008,Ntoroko,2012-10-10,2,M,3000,
https://reliefweb.int/disaster/fl-2008-000175-uga,unkown,Pallisa,2008-09-12,2,M,700,
http://floodlist.com/africa/uganda-floods-landslide-rubanda-september-2017,unkown,Rubanda,2017-09-26,9,H,,15
https://www.newvision.co.ug/new_vision/news/1057373/tororo-floods-kill,21UGA003007,Tororo,2002-05-07,3,H,,2
http://floodlist.com/africa/uganda-floods-november-2018,unkown,Wakiso,2018-11-17,3,M,,5
